Sentence,entities,extracted_keywords
Dialog eZ Cash Unique service is available even without bank account Mobitel mCash customer can withdraw cash on cardless transaction option from any commercial bank ATM Mobile Reload ,"[[""Dialog eZ Cash"", ""SERVICE"", 0, 14], [""Mobitel mCash"", ""SERVICE"", 69, 82]]","['withdraw cash', 'cardless transaction','Dialog eZ Cash','Mobitel mCash', 'commercial bank', 'ATM Mobile Reload']"
Who are engaged in or to be engaged in manufacturing services and trading oriented businesses with an adequate repayment capacity is eligible to apply for Diribala Development Loan,"[[""Diribala Development Loan"", ""PRODUCT"", 155, 180]]","['Diribala Development Loan', 'Loan']"
Commercial Agri Loans for Professionals is the latest credit scheme from Commercial Bank to empower professionals to invest in the field of agriculture to revolutionise the agriculture industry in Sri Lanka,"[[""Commercial Agri Loans"",""PRODUCT"",0,21],[""Commercial Bank"", ""ORG"", 73, 88], [""Sri Lanka"", ""GPE"", 197, 206]]","['Commercial Agri Loans', 'agriculture industry', 'Commercial Bank','credit scheme']"
Apply for Home Loan in selected foreign currencies and pay back in the same currency,"[[""Home Loan"", ""PRODUCT"", 10, 19]]","['foreign currencies', 'Home Loan']"
UnionPay Asia Prestige Platinum Card Your travel companion Visa Infinite Card range of privileges at your disposal Visa Signature Card Experience the power to do more,"[[""UnionPay Asia Prestige Platinum Card "",""PRODUCT"",0,36],[""Visa Infinite Card"", ""PRODUCT"", 59, 77], [""Visa Signature Card"", ""PRODUCT"", 115, 134]]","['Platinum Card', 'Signature Card', 'Visa Signature Card','UnionPay Asia Prestige Platinum Card', 'Visa Infinite Card']"
Our Dotcom Teen Account is the coolest most uptodate way of introducing the habit of saving to your to year olds,"[[""Dotcom Teen Account"", ""PRODUCT"", 4, 23]]","['Dotcom Teen Account', 'saving']"
ComBank Digital offers services such as checking balances of Current Accounts Savings Accounts Investments Loans and Credit Card accounts and transactional activities such as applying for Fixed Deposits instant payments across the banking network share trading settlements etc can be carried out securely,"[[""ComBank Digital"", ""PRODUCT"", 0, 15], [""Credit Card"", ""PRODUCT"", 117, 128]]","['ComBank Digital', 'Accounts Savings', 'Savings Accounts','Current Accounts','Investments Loans','Credit Card accounts', 'Fixed Deposits' ]"
Are you Sri Lankan employed abroad Then you too can apply for Home Loan in selected foreign currencies and pay back in the same currency,"[[""Sri Lankan"", ""PERSON"", 8, 18], [""Home Loan"", ""PRODUCT"", 62, 71]]","['foreign currencies', 'Home Loan']"
Anagi savings accounts for more than months with remittance of salary fixed gross income of Anagi account holders whose average monthly balance is above during the last months,"[[""Anagi savings accounts"", ""PRODUCT"", 0, 22], [""monthly"", ""DATE"", 128, 135]]","['Anagi saving account', 'savings accounts']"
All Divisaru savings account holder micro entrepreneurs age over years are eligible to open Fixed Deposits,"[[""Divisaru savings account"",""PRODUCT"",4,28]]","['Divisaru savings account', 'micro entrepreneurs', 'Fixed Deposits']"
Commercial Bank Letters of Guarantee state the customer owns particular security and the bank will guarantee delivery of that security,"[[""Commercial Bank"", ""ORG"", 0, 15]]","['security', 'Commercial Bank']"
Easy Payment Plans Buy at ease with ComBank Credit Cards Flexi Payment Plan If you wish for it make it yours Max Loyalty Rewards Earn while you spend with ComBank Cards ,"[[""ComBank Credit Cards"", ""PRODUCT"", 36, 56],["" Flexi Payment Plan"",""PRODUCT"",57,75] ,[""Max Loyalty Rewards"", ""PRODUCT"", 109, 128], [""ComBank Cards"", ""PRODUCT"", 155, 168]]","['Credit Cards', 'Easy Payment', 'ComBank Cards', 'Flexi Payment Plan']"
Eligibility Who are engaged in or to be engaged in manufacturing services and trading oriented businesses with an adequate repayment capacity is eligible to apply for Diribala Development Loan,"[[""Diribala Development Loan"", ""PRODUCT"", 167, 192]]","['manufacturing services', 'Diribala Development Loan']"
Interest will be calculated on the daily balance and credited to your account quarterly,"[[""daily"", ""DATE"", 35, 40], [""quarterly"", ""DATE"", 78, 87]]","['account','daily balance']"
Professionals Loan online if you are already registered for ComBank Digital online banking facility You can also visit the nearest branch and discuss your requirement with an officer ,"[[""ComBank Digital"", ""PRODUCT"", 60, 75],[""online banking facility"",""SERVICE"",76,99]]","['ComBank Digital', 'Professionals Loan', 'online banking']"
Repayment Maximum repayment period will be years You have the option of choosing equated monthly installments or reducing balance installment method,"[[""monthly"", ""DATE"", 89, 96]]","['repayment period', 'Maximum repayment']"
RemitPlus is the instant money transfer service of Commercial Bank which enables Sri Lankan expatriates to make instant money transfers from many countries around the world ,"[[""RemitPlus"", ""PRODUCT"", 0, 9], [""Commercial Bank"", ""ORG"", 51, 66]]","['money transfer', 'money transfers', 'RemitPlus', 'transfer service', 'Commercial Bank']"
Commercial Bank Green Loans give you the financial support to begin energy conservation from your home,"[[""Commercial Bank Green Loans"", ""ORG"", 0, 27]]","['Green Loans', 'Commercial Bank Green Loans', 'Commercial Bank', 'energy conservation']"
If you are resident of Sri Lanka over years of age you are eligible to place fixed deposit,"[[""Sri Lanka"", ""GPE"", 23, 32], [""over years of age"", ""DATE"", 33, 50]]","['fixed deposit', 'deposit']"
Tracking the status of your RemitPlus remittance had never been so easy Get real time updates on the status of your remittance through our online tracking system,"[[""RemitPlus"", ""PRODUCT"", 28, 37]]","['remittances Tracking', 'online tracking','RemitPlus']"
Online Banking and Mobile Banking and through any of Commercial Bank ATMs or any other ATMs belonging to the Cirrus or Visa networks anywhere in the world You can also make payments for goods and services using your ATM cum Debit card to any merchant with POS machine connected to the Visa or Master network ,"[[""Commercial Bank"", ""ORG"", 53, 68], [""Cirrus"", ""ORG"", 109, 115], [""Visa"", ""ORG"", 119, 123], [""ATM cum Debit card"", ""ORG"", 216, 234], [""Visa"", ""ORG"", 285, 289]]","['Online Banking', 'Mobile Banking', 'Commercial Bank', 'ATMs' ,'Visa networks', 'ATM cum Debit card' ,'POS machine', 'Visa', 'Master network']"
Fixed Deposits Placing Fixed Deposit with Commercial Bank will fetch you one of the most attractive ratesofinterest in the market,"[[""Commercial Bank"", ""ORG"", 42, 57]]","['Fixed Deposit', 'Commercial Bank']"
You can held Fixed Deposits as collateral for microfinance facilities,"[[""microfinance facilities"",""SERVICE"",46,69]]","['microfinance facilities', 'microfinance', 'Fixed Deposits']"
Arunalu Children Savings Account helps you to plan your child future from infancy to adulthood ,"[[""Arunalu Children Savings Account"",""PRODUCT"",0,32]]","['Children Savings', 'Arunalu Children Savings Account']"
You may also be interested in Prepaid Fuel Card convenient tool to manage the monthly fuel allowance Prepaid Spend Web Cards Make your transactions securely and manage your budgets easily,"[[""Prepaid Fuel Card"", ""PRODUCT"", 30, 47], [""monthly"", ""DATE"", 78, 85], [""Prepaid Spend Web Cards"", ""PRODUCT"", 101, 124]]","['Prepaid Fuel Card', 'Prepaid Spend Web Cards', 'fuel allowance','transactions']"
Green loans have been introduced to finance environmental friendly projects to encourage you to optimize and recycle natural resources ,"[[""Green loans"",""PRODUCT"",0,11]]","['Green loans', 'finance environmental friendly', 'loans']"
Any individual group community or entity affected or may potentially be affected by the social and environmental impacts of project funded by Commercial Bank of Ceylon PLC may submit their concerns to the following mail address with clear supporting evidence,"[[""Commercial Bank of Ceylon PLC"", ""ORG"", 142, 171]]",['Commercial Bank of Ceylon PLC']
Empower your child future with our Flash Fam Digital Bank Account,"[[""Flash Fam Digital Bank"", ""PRODUCT"", 35, 65]]",['Flash Fam Digital Bank Account']
Gold Silver Credit Cards,"[[""Gold Silver Credit Cards"", ""PRODUCT"", 0, 24]]",['Gold Silver Credit Cards']
The Diribala Development Loans scheme is very flexible and is tailored to suit the needs and requirements of small and medium scale agricultural industrial and business ventures,"[[""Diribala Development Loans scheme"",""PRODUCT"",4,37]]","['Development Loans', 'Loans scheme', 'Diribala Development Loans scheme']"
You may also be interested in Easy Payment Plans Buy at ease with ComBank Credit Cards Flexi Payment Plan If you wish for it make it yours Max Loyalty Rewards Earn while you spend with ComBank Cards ,"[[""ComBank Credit Cards Flexi Payment Plan"", ""PRODUCT"", 66, 105], [""Max Loyalty Rewards"", ""PRODUCT"", 139, 158], [""ComBank Cards"", ""PRODUCT"", 185, 198]]","['Credit Cards', 'ComBank Cards', 'Easy Payment', 'ComBank Credit Cards Flexi Payment Plan', 'Payment Plans']"
Commercial Bank Export Bills Purchase is the acquiring of bills pertaining to Letters of Credit or collection documents,"[[""Commercial Bank"", ""ORG"", 0, 15]]","['Export Bills', 'Commercial Bank']"
With Super Leasing you can pay part of the vehicle value at the end of the lease periodso your monthly rental is calculated for only part of the value of the vehicle ,"[[""Super Leasing"", ""PRODUCT"", 5, 18], [""monthly"", ""DATE"", 95, 102]]","['Super Leasing', 'lease', ' rental']"
Dotcom Teen Account Savings account for the teens of today Calculated daily paid monthly,"[[""Dotcom Teen Account Savings account"", ""PRODUCT"", 0, 35], [""today"", ""DATE"", 53, 58],[""monthly"", ""DATE"", 81, 88]]","['Dotcom Teen Account Savings account', 'Savings account', 'Dotcom Teen']"
Import Demand Loans Get the Financial facilities for import transactions from the best trade finance team Pledge Loans Financial assistance against consignments Short Term Loans ,"[[""Pledge Loans"", ""PRODUCT"", 106, 118], [""Short Term Loans"", ""PRODUCT"", 161, 177]]","['Demand Loans', 'Short Term Loans', 'Pledge Loans', 'Loans']"
FC Plus Accounts Giving you the best return for your foreign currency investments Millionaire Investment Plan in Foreign Currency Invest fixed amount monthly in foreign currency ,"[[""FC Plus Accounts"", ""PRODUCT"", 0, 16], [""Millionaire Investment Plan"", ""PRODUCT"", 82, 109], [""monthly"", ""DATE"", 150, 157]]","['currency investments', 'foreign currency', 'FC Plus Accounts']"
ComBank Non Resident Banking,"[[""ComBank Non Resident Banking"", ""PRODUCT"", 0, 28]]","['ComBank Non Resident Banking', 'ComBank', 'Non Resident Banking']"
Merchants can get access to promotional campaigns arranged by LANKAQR Visa Mastercard Union Pay AliPay and WeChat Pay,"[[""LANKAQR Visa Mastercard Union Pay"", ""ORG"", 62, 95], [""AliPay"",""ORG"",96,102], [""WeChat Pay"",""ORG"",107,117]]","['promotional campaigns', 'LANKAQR Visa Mastercard Union Pay','AliPay','WeChat Pay']"
Implemented the Core Banking Software International Comprehensive Banking System ICBS Shareholding in Commercial Development Company Ltd increased to through share swap,"[[""Commercial Development Company Ltd"", ""ORG"", 102, 136]]","['ICBS Shareholding', 'Core Banking', 'Comprehensive Banking', 'Commercial Development Company Ltd']"
The second fully owned subsidiary of Commercial Bank CBC Myanmar Microfinance Company Ltd CBC Myanmar was opened in Nay Pyi Taw,"[[""Commercial Bank"", ""ORG"", 37, 52], [""CBC"", ""ORG"", 53, 56],  [""Nay Pyi Taw"", ""GPE"", 116, 127]]","['Microfinance Company', 'Commercial Bank ','CBC', 'microfinance facilities', 'Myanmar Microfinance']"
Ria Financial is an instant money transferring system where money could be remitted to Sri Lanka from any of the agent locations worldwide ,"[[""Ria Financial "", ""PRODUCT"", 0, 13]]","['Ria Financial', 'money transfer', 'money transferring', 'transfer company']"
At Commercial Bank Sustainability ranks high on our agenda among our top business priorities Sustainability has always been central to our philosophy ,"[[""Commercial Bank"", ""ORG"", 3, 18]]","['Commercial Bank', 'Bank Sustainability', 'Sustainability']"
Fixed Deposit Assured returns with our stability Personal Foreign Currency ,"[[""Fixed Deposit"", ""PRODUCT"", 0, 13]]","['Fixed Deposit', 'Foreign Currency']"
Classic Debit Cards Makes your life easy BIZ Club Business Debit Card ,"[[""Classic Debit Cards"", ""PRODUCT"", 0, 19], [""BIZ Club Business Debit Card"", ""PRODUCT"", 41, 69]]","['Debit Card', 'Classic Debit Cards', 'BIZ Club Business Debit Card','Business Debit Card']"
Commercial Bank salutes women for their immense contribution social and economic growth of Sri Lanka,"[[""Commercial Bank"", ""ORG"", 0, 15], [""Sri Lanka"", ""GPE"", 91, 100]]","['women', 'Commercial Bank']"
Apply for Anagi Women Savings Account,"[[""Anagi Women Savings Account"",""PRODUCT"",10,37]]","['Women Savings', 'Savings Account', 'Anagi Women Savings Account']"
Dirishakthi Loans Empower Micro Entrepreneurs,"[[""Dirishakthi Loans"", ""PRODUCT"", 0, 17]]","['Micro Entrepreneurs', 'Entrepreneurs', 'Loans', 'Dirishakthi Loans']"
Dotcom Teen Account,"[[""Dotcom Teen Account"", ""PRODUCT"", 0, 19]]","['Dotcom Teen', 'Dotcom Teen Account', 'Dotcom', 'Teen']"
To open an account please collect an Arunalu Foreign Currency Minor Savings Account opening form from your nearest Commercial Bank branch ,"[[""Arunalu Foreign Currency Minor Savings Account"", ""PRODUCT"", 37, 83], [""Commercial Bank"", ""ORG"", 115, 130]]","['Savings Account', 'Arunalu Foreign Currency Minor Savings Account','Commercial Bank','Foreign Currency']"
Island wide branch ATM network along with Online Banking facilities provide you the convenience,"[[""ATM"", ""PRODUCT"", 19, 22], [""Online Banking"", ""SERVICE"", 42, 56]]","['Online Banking', 'Banking facilities', 'ATM network', 'ATM']"
Benefits Comfortable payment terms Easy to apply via Card Center hotline Digital Banking facility Hassel free payment plans,"[[""Card Center"", ""ORG"", 53, 64], [""Digital Banking"", ""SERVICE"", 73, 88]]","['Card Center', 'payment plans', 'free payment', 'Digital Banking']"
There will be number of messages displayed on the ATM machine on the status of the transaction,"[[""ATM machine"", ""PRODUCT"", 50, 61]]","['ATM', 'ATM machine', 'transaction']"
Foreign Currency Children Savings Account Save in foreign currency to ensure secure future for your child Isuru Minors Savings Plan guaranteed return to secure your child future ,"[[""Foreign Currency Children Savings Account"", ""PRODUCT"", 0, 41], [""Isuru Minors Savings Plan"", ""PRODUCT"", 106, 131]]","['Children Savings', 'Foreign Currency Children Savings', 'Minors Savings', 'Foreign Currency', ' Isuru Minors Savings Plan']"
The Isuru Lump Sum Deposit Scheme is to deposit single lump sum,"[[""Isuru Lump Sum Deposit Scheme"", ""PRODUCT"", 4, 33]]","['deposit', 'Deposit Scheme', ' Isuru Lump Sum Deposit Scheme']"
With Visa Infinite you will have access to the highest level of personal service and an extraordinary selection of benefits,"[[""Visa Infinite"", ""PRODUCT"", 5, 18]]","['Visa Infinite', 'Visa', 'personal service']"
The essentials Commercial Bank Current Account gives you the convenience of managing your day to day business transactions professionally and efficiently,"[[""Commercial Bank"", ""ORG"", 15, 30]]","['Commercial Bank', 'business transactions', 'Current Account']"
For the first time in Sri Lanka ComBank introduces Data Credit Card for all Mobitel customers,"[[""ComBank"", ""ORG"", 32, 39], [""Data Credit Card"", ""PRODUCT"", 51, 67], [""Mobitel"", ""ORG"", 76, 83]]","['Credit Card', 'Data Credit Card', 'ComBank', 'Mobitel']"
ComBank Visa Travel Card can be used to make all kinds of payments when you travel abroad It ensures convenience and security of your payments and can use as an alternative to travelers cheques and currency notes ,"[[""ComBank Visa Travel Card"", ""PRODUCT"", 0, 24]]","['Travel Card', 'ComBank', 'ComBank Visa Travel Card','Visa']"
Professionals Loans Specifically designed to cater to the essential needs of professionals Yasasa Pensioners Loans plan to enrich your life after retirement Pension ,"[[""Yasasa Pensioners Loans"", ""PRODUCT"", 91, 114]]","['Pensioners Loans', 'Professionals Loans', 'Yasasa Pensioners Loans', 'Loans plan']"
The Visa Infinite Card is completely at your disposal and can be used at NFC enabled POS machines locally globally ,"[[""Visa Infinite Card"",""PRODUCT"",4,22],[""NFC"", ""SERVICE"", 73, 76]]","['Infinite Card', 'travel insurance', 'Visa Infinite Card']"
Cash and cheques can now be deposited paperfree into current or savings accounts at Commercial Bank of Ceylon following the launch of an innovative new app that generates eSlip For the first time in Sri Lanka an app for cheque deposits is introduced by Commercial Bank of Ceylon PLC for the convenience of you Features Catering to ComBank Account holders ,"[[""Commercial Bank of Ceylon"", ""ORG"", 84, 109],[""Sri Lanka"", ""GPE"", 199, 208], [""Commercial Bank of Ceylon PLC"", ""ORG"", 253, 282], [""ComBank"", ""ORG"", 331, 338]]","['Commercial Bank of Ceylon', 'cheque deposits', 'ComBank']"
Flexi Payment Plan is the easy payment plan introduced by Commercial Bank for Credit Cardholder who wish to pay their Credit Card purchases by installments and who were unable to get their particular transaction converted for an Easy Payment Plan at the merchant purchasing point ,"[[""Flexi Payment Plan"",""PRODUCT"",0,18],[""Commercial Bank"", ""ORG"", 58, 73], [""Credit Card"", ""PRODUCT"", 118, 129]]","['Flexi Payment', 'Payment Plan', 'easy payment', 'Credit Card', 'Credit Cardholder','Commercial Bank']"
Regular Savings Account Maximum flexibility for your savings Calculated daily paid monthly Super Saver Account ,"[[""Regular Savings Account"", ""PRODUCT"", 0, 23], [""monthly"", ""DATE"", 83, 90], [""Super Saver Account"", ""PRODUCT"", 91, 110]]","['Savings Account', 'Regular Savings', 'Super Saver Account']"
Enable to redeem gold article with no prior notice by repaying the loan and interest before maturity ,"[[""loan"",""PRODUCT"",67,71]]","['redeem gold', ' loan' ,'interest']"
Green Loans Energy conservation begins today,"[[""Green Loans"", ""PRODUCT"", 0, 11], [""today"", ""DATE"", 39, 44]]","['Green Loans', 'Energy', 'Energy conservation']"
As the biggest lender to the SME sector Commercial Bank always supported the entrepreneurs of Sri Lanka To further strengthen this relationship we are introducing ComBank Simple Pay state of art commerce platform to digitize your business Invoices ,"[[""SME"", ""ORG"", 29, 32], [""Commercial Bank"", ""ORG"", 40, 55], [""Sri Lanka"", ""GPE"", 94, 103], [""ComBank Simple Pay state of art"", ""PRODUCT"", 163, 194]]","['entrepreneurs', 'business','SME','Commercial Bank','ComBank Simple Pay state of art']"
Businesses Registered in Sri Lanka Sole proprietorship Partnership Business Limited Companies are eligible to place Fixed Deposit (FDs),"[[""Sri Lanka"", ""GPE"", 25, 34], [""Partnership Business Limited Companies"", ""ORG"", 55, 93], [""Fixed Deposit"", ""PRODUCT"", 116, 129]]","['Businesses','Fixed Deposit', 'FD', 'Partnership Business Limited Companies']"
Al Adalah Islamic Banking unit is separate window within the Commercial Bank of Ceylon PLC ,"[[""Al Adalah Islamic Banking"", ""PRODUCT"", 0, 25], [""Commercial Bank of Ceylon PLC"", ""ORG"", 61, 90]]","['Islamic Banking','Commercial Bank', 'Al Adalah Islamic Banking']"
Our Online Banking facility ComBank Digital gives you instant access to your Credit Card,"[[""ComBank Digital"", ""PRODUCT"", 28, 43], [""Credit Card"", ""PRODUCT"", 77, 88]]","['Online Banking', 'Credit Card', 'ComBank Digital', 'Banking facility']"
If you are an existing Micro Finance customer you can either open new account or convert your existing savings account to Divisaru Savings Account,"[[""Micro Finance"", ""PRODUCT"", 23, 36], [""Divisaru Savings"", ""PRODUCT"", 122, 138]]","['savings account','Micro Finance', 'Divisaru Savings']"
Sri Lanka first carbonneutral bank Commercial Bank has made sustainability an integral part of every aspect of its operations and supports wide spectrum of environmental initiatives,"[[""Sri Lanka"", ""GPE"", 0, 9], [""Commercial Bank"", ""ORG"", 35, 50]]","['carbonneutral bank', 'sustainability','Commercial Bank']"
Digital banking has just become financially rewarding with the Commercial Bank of Ceylon launching groundbreaking industryfirst initiative to award reward points for transactions on ComBank Digital ,"[[""Digital banking"", ""PRODUCT"", 0, 15], [""Commercial Bank of Ceylon"", ""ORG"", 63, 88], [""ComBank Digital"", ""PRODUCT"", 182, 197]]","['Digital banking', 'Commercial Bank', 'ComBank Digital', 'reward points']"
Flexibility to operate the account Island wide branch ATM network along with Online Banking facilities provide you the flexibility,"[[""ATM"", ""PRODUCT"", 54, 57], [""Online Banking"", ""SERVICE"", 77, 91]]","['Online Banking', 'ATM', 'Banking']"
Vibe Youth Fixed Deposits with special high interest rates are offered for you when you convert the balances in your matured Isuru Arunalu Accounts ,"[[""Isuru Arunalu Accounts"", ""PRODUCT"", 125, 147]]","['Fixed Deposits', ' Youth Fixed Deposits', 'Isuru Arunalu Accounts','interest']"
Gold Loans Pawning Months,"[[""Gold Loans"",""PRODUCT"",0,10]]","['Gold Loans', 'Pawning']"
Corporate Banking comes to you with advanced lending and deposit products with stateoftheart technology and unparalleled levels of customer service,"[[""Corporate Banking"",""SERVICE"",0,17]]","['Corporate Banking', 'technology']"
Sending money home has now become easier with MoneyGram,"[[""MoneyGram"", ""ORG"", 46, 55]]","['Sending money', 'MoneyGram']"
Enjoy lower interest rates Interest free installment schemes convenient settlement cycles Facility of settling credit card payments at over branches island wide,"[[""installment schemes"", ""PRODUCT"", 41, 60]]","['installment schemes', 'card payments', 'credit card']"
Foreign Currency Children Savings Account Save in foreign currency to ensure secure future for your child,"[[""Foreign Currency Children Savings Account"", ""PRODUCT"", 0, 41]]","['Children Savings', 'Foreign Currency Children Savings Account', 'Foreign Currency', 'Savings Account']"
Premium Credit Cards,"[[""Premium Credit Cards"", ""PRODUCT"", 0, 20]]","['Credit Cards', 'Premium Credit Cards', 'Premium']"
You may also be interested in Dialog eZ Cash Unique service is available even without bank account ,"[[""eZ Cash"", ""PRODUCT"", 37, 44]]","['Dialog', 'eZ Cash', 'Dialog eZ Cash']"
Customer excellence is embedded as core element of Commercial Bank business strategy ,"[[""Commercial Bank"", ""ORG"", 51, 66]]","['Customer excellence', 'Bank business', 'Commercial Bank']"
You may also be interested in Divisaru Savings Account Savings Account for Micro Entrepreneurs,"[[""Divisaru Savings Account"", ""PRODUCT"", 30, 54]]","['Divisaru Savings Account', 'Savings Account', 'Divisaru Savings']"
If you are in need of physical cash or when family member or close friend of yours sends money through mCash now you can easily withdraw these funds through the nearest Commercial Bank ATM ,"[[""Commercial Bank"", ""ORG"", 169, 184], [""ATM"", ""PRODUCT"", 185, 188]]","['Commercial Bank', 'physical cash', 'mCash','ATM']"
Tracking the status of your RemitPlus remittance had never been so easy ,"[[""RemitPlus"",""PRODUCT"",28,37]]","['remittance', 'RemitPlus']"
Super Saver Account The higher you save the higher you earn Calculated daily paid monthly Personal Foreign Currency Account Add value to your earnings Regular Savings Account Maximum flexibility for your savings,"[[""Super Saver Account"", ""PRODUCT"", 0, 19],[""monthly"", ""DATE"", 82, 89],[""Regular Savings Account"", ""PRODUCT"", 151, 174]]","['Super Saver Account', 'Regular Savings', 'Regular Savings Account']"
The Credit Card holders will be eligible to earn ComBank Max Loyalty points and ComBank Max Loyalty Point for every spent Max Loyalty Point Rupee,"[[""Credit Card"", ""PRODUCT"", 4, 15], [""ComBank Max Loyalty Point"", ""PRODUCT"", 80, 105]]","['Loyalty Points', 'Credit Card', 'ComBank Max Loyalty Point']"
Deposits Foreign Currency Deposits Forex Plus Earn much more than an interest for your foreign currency ,"[[""Forex Plus"", ""PRODUCT"", 35, 45]]","['Currency Deposits', 'Forex Plus', 'Foreign Currency']"
Attend exclusive outings hosted by MasterCard golf ambassadors at renowned golf courses,"[[""MasterCard"", ""PRODUCT"", 35, 45]]","['golf ambassadors', 'MasterCard', 'golf']"
Investment securities issued by the Central Bank of Sri Lanka through primary auctions held throughout the year,"[[""Central Bank of Sri Lanka"", ""ORG"", 36, 61]]","['Investment securities', 'Central Bank of Sri Lanka', 'securities','Investment']"
The DFCC Club and Society Plus offers you bundled benefits that help you navigate the realms of finance with ease while empowering the goals of your club society or association,"[[""The DFCC Club"", ""ORG"", 0, 13]]","['DFCC Club', 'Society Plus']"
The account opened under the DFCC Freelancer category will be eligible for the following propositions of the bank based on below monthly income Proposition Amount Equivalent ,"[[""DFCC"", ""ORG"", 29, 33],[""monthly"", ""DATE"", 129, 136]]","['DFCC', 'Freelancer category']"
Clients can process their vendor supplier payments via file upload or adhoc single payment through DFCC iConnect ,"[[""DFCC iConnect"", ""PRODUCT"", 99, 112]]","['supplier payments', 'DFCC iConnect']"
Local Payments Clients can outsource their entire cheque printing and delivery operation to DFCC through iConnect or has the flexibility of printing the cheques at their premises ,"[[""DFCC"", ""ORG"", 92, 96], [""iConnect"", ""PRODUCT"", 105, 113]]","['Local Payments', 'cheque', 'iConnect', 'DFCC']"
Founded in DFCC Bank is one of the oldest development banks in Asia,"[[""DFCC Bank"", ""ORG"", 11, 20], [""Asia"", ""GPE"", 63, 67]]","['development banks', 'DFCC Bank']"
DFCC Bank Foreign Currency Accounts offer you the opportunity to save your personal foreign exchange or business foreign exchange and earn interest in the same currency,"[[""DFCC Bank Foreign Currency Accounts"", ""PRODUCT"", 0, 35]]","['Currency Accounts', 'Foreign Currency', 'foreign exchange', 'DFCC Bank Foreign Currency Accounts']"
Corporate Credit Cards,"[[""Corporate Credit Cards"", ""PRODUCT"", 0, 22]]","['Credit Cards', 'Corporate Credit Cards']"
DFCC Bank provides nancial solutions to support individuals and businesses of all sizes offering both development banking and commercial banking facilities ,"[[""DFCC Bank"", ""ORG"", 0, 9]]","['DFCC Bank', 'development banking','DFCC', 'commercial banking facilities']"
DFCC Online Banking enables you to perform host of banking functions at the comfort of your home or office around the clock Be enabled with DFCC Online Banking today,"[[""DFCC Online Banking"", ""SERVICE"", 140, 159]]","['DFCC', 'Online Banking']"
"Travel with your DFCC Visa Signature,DFCC Visa Infinite or World Mastercard Credit Cards and experience host of exclusive offers at partner merchants worldwide","[[""Visa Infinite"", ""PRODUCT"", 42, 55], [""World Mastercard Credit Cards"", ""PRODUCT"", 59, 88]]","['DFCC', 'Visa Infinite', 'Mastercard Credit', 'World Mastercard Credit Cards']"
Special Home Loan packages available for selected condominium apartment projects to provide you the maximum benefits on your investment,"[[""Home Loan"", ""PRODUCT"", 8, 17]]","['Home Loan', 'Loan packages']"
Exclusive Visa Infinite privileges and worldwide offers,"[[""Visa Infinite"", ""PRODUCT"", 10, 23]]","['Visa', 'Visa Infinite', 'Infinite privileges']"
Branded Credit Cards with issuance and st Year Annual fee waived off DFCC Aloka has dedicated banking day for females every of the week Simply apply for DFCC Aloka debit or credit card facility to enjoy host of benefits around the year with offers from supermarket shopping clothing Dining online offers etc,"[[""Branded Credit Cards"", ""PRODUCT"", 0, 20], [""Year"", ""DATE"", 42, 46], [""DFCC Aloka"", ""PRODUCT"", 69, 79], [""the week"", ""DATE"", 127, 135], [""DFCC Aloka"", ""PRODUCT"", 153, 163], [""the year"", ""DATE"", 227, 235]]","['Credit Cards', 'DFCC Aloka', 'Branded Credit']"
Enjoy wide range of offers with Credit Card Offers,"[[""Credit Card Offers"", ""SERVICE"", 32, 50]]","['Card Offers', 'Credit Card']"
The Bank fitness initiative OMMM promotes healthy lifestyle for team members and families ,"[[""Bank"", ""ORG"", 4, 8],[""OMMM"",""SERVICE"",28,32]]","['OMMM', 'healthy lifestyle', 'fitness']"
Visa Signature Credit Card,"[[""Visa Signature Credit Card"", ""PRODUCT"", 0, 26]]","['Visa', 'Credit Card', 'Visa Signature Credit Card']"
DFCC Bank has clear vision and mission ensuring that its multidisciplinary team work in synergy to make DFCC the leading financial solutions provider sustainably,"[[""DFCC Bank"", ""ORG"", 0, 9], [""DFCC"", ""ORG"", 104, 108]]","['DFCC Bank', 'DFCC']"
We are pleased to announce that DFCC Visa Debit Card have been enhanced with brand new design and additional security in bid to improve your transacting experience,"[[""DFCC"",""ORG"",32,36],[""Visa Debit Card"", ""PRODUCT"", 37, 52]]","['Debit Card', 'DFCC', 'Visa']"
DFCC Bank launched DFCC iConnect cuttingedge Payments Solution for businesses,"[[""DFCC Bank"", ""ORG"", 0, 9], [""DFCC iConnect"", ""PRODUCT"", 19, 32]]","['DFCC Bank', 'DFCC iConnect', 'DFCC']"
DFCC Bank is committed to developing SMEs in the country,"[[""DFCC Bank"", ""ORG"", 0, 9]]","['DFCC Bank', 'SME']"
Travel Insurance and Emergency Accident Medical Expenses cover of up to from Allianz Insurance when you purchase return air ticket using your DFCC Visa Signature Credit Card DFCC World Mastercard Credit Card and DFCC Pinnacle In nite Credit Card,"[[""Allianz Insurance"", ""ORG"", 77, 94], [""DFCC Visa Signature Credit Card"",""PRODUCT"",142,173],[""DFCC World Mastercard Credit Card"",""PRODUCT"",174,207], [""DFCC Pinnacle"",""PRODUCT"",212,225]]","['Travel Insurance','DFCC Visa', 'Allianz Insurance', 'DFCC Visa Signature Credit Card', 'DFCC World Mastercard Credit Card', 'DFCC Pinnacle']"
